SimTime,X,Y,Z,qw,qx,qy,qz,Vx,Vy,Vz,Lat,Lon,Alt
142.516,-0.01339171826839447,-0.024617036804556847,0.025726351886987686,0.6969782114028931,-0.004685533698648214,-0.002891571493819356,0.7170712351799011,0.006664742715656757,-0.046931684017181396,0.05707330256700516,,,
142.548,-0.013387766666710377,-0.025029679760336876,0.027062278240919113,0.6969769597053528,-0.004680797457695007,-0.0029010807629674673,0.7170724272727966,0.006994081195443869,-0.04772244021296501,0.05809617042541504,39.4786947,-0.33461789999999997,4.11400032043457
142.58,-0.013368728570640087,-0.02559589594602585,0.028430389240384102,0.6969701051712036,-0.00467852083966136,-0.0029031995218247175,0.7170790433883667,0.007297220639884472,-0.04846277832984924,0.05834052711725235,39.4786947,-0.33461789999999997,4.111999988555908
142.62,-0.013318311423063278,-0.026489123702049255,0.030187830328941345,0.6969650387763977,-0.004684496205300093,-0.0029204150196164846,0.7170838713645935,0.007818246260285378,-0.048628486692905426,0.05922185257077217,39.4786947,-0.33461799999999997,4.110000133514404
142.652,-0.013258089311420918,-0.027322296053171158,0.03163091093301773,0.6969550251960754,-0.004689955618232489,-0.0029288399964571,0.7170935869216919,0.008173787035048008,-0.048829153180122375,0.059761643409729004,39.4786947,-0.33461799999999997,4.109000205993652
142.684,-0.013187014497816563,-0.02826065756380558,0.03312335163354874,0.6969524025917053,-0.004684286192059517,-0.0029208092018961906,0.7170961499214172,0.007865633815526962,-0.04918967932462692,0.060478586703538895,39.4786947,-0.33461799999999997,4.1080002784729
142.716,-0.013121378608047962,-0.029297256842255592,0.034649595618247986,0.6969484686851501,-0.004680846817791462,-0.0029063166584819555,0.7171000242233276,0.0077945212833583355,-0.049679480493068695,0.061129361391067505,39.4786947,-0.33461799999999997,4.1060004234313965
142.748,-0.013367695733904839,-0.027716856449842453,0.03602929785847664,0.6969248652458191,-0.0046937791630625725,-0.0029090126045048237,0.7171229124069214,0.007228577975183725,-0.048128724098205566,0.06217767298221588,39.4786947,-0.33461799999999997,4.105000019073486
142.78,-0.01358901895582676,-0.026419000700116158,0.03746061399579048,0.6969060897827148,-0.004682269413024187,-0.002928243251517415,0.7171412110328674,0.007450200151652098,-0.0481409914791584,0.06320709735155106,39.4786947,-0.33461799999999997,4.103000164031982
142.82,-0.013797558844089508,-0.025193195790052414,0.03923896700143814,0.6969119310379028,-0.004620183724910021,-0.0029494534246623516,0.7171358466148376,0.008356853388249874,-0.04731162637472153,0.06427180767059326,39.4786947,-0.33461789999999997,4.1010003089904785
142.852,-0.013916580006480217,-0.024482106789946556,0.04072684422135353,0.696884274482727,-0.004610368050634861,-0.0029545719735324383,0.7171627283096313,0.008558431640267372,-0.04703507199883461,0.06455697119235992,39.4786947,-0.33461789999999997,4.1010003089904785
142.884,-0.01400105468928814,-0.023980075493454933,0.0421954020857811,0.6968849897384644,-0.00457708491012454,-0.002946967724710703,0.7171622514724731,0.008970079012215137,-0.04670987278223038,0.06443928927183151,39.4786947,-0.33461789999999997,4.098999977111816
142.916,-0.014048785902559757,-0.023672152310609818,0.0436677485704422,0.6968634724617004,-0.004592251498252153,-0.002964463084936142,0.717182993888855,0.009871731512248516,-0.046671152114868164,0.06555423885583878,39.4786947,-0.33461789999999997,4.0970001220703125
142.948,-0.014045084826648235,-0.023554718121886253,0.045160647481679916,0.6968458890914917,-0.004576500505208969,-0.0029670041985809803,0.7172002196311951,0.010716721415519714,-0.04653815180063248,0.06609930098056793,39.4786947,-0.33461789999999997,4.0960001945495605
142.98,-0.013997451402246952,-0.02361632138490677,0.04662857577204704,0.6968396306037903,-0.004554068204015493,-0.002967429580166936,0.7172063589096069,0.010660365223884583,-0.04693872109055519,0.0663384199142456,39.4786947,-0.33461789999999997,4.094000339508057
143.02,-0.013914713636040688,-0.023926103487610817,0.04856681078672409,0.6968151926994324,-0.0045308382250368595,-0.0029782981146126986,0.7172303199768066,0.010613979771733284,-0.047355279326438904,0.06692659109830856,39.4786947,-0.33461789999999997,4.0920000076293945
143.052,-0.013812779448926449,-0.024340765550732613,0.05018538981676102,0.6968126893043518,-0.00453706132248044,-0.0029782347846776247,0.7172326445579529,0.011607944965362549,-0.04753198102116585,0.06756320595741272,39.4786947,-0.33461789999999997,4.091000080108643
143.084,-0.013672297820448875,-0.024917909875512123,0.05186566337943077,0.6968175768852234,-0.004528968594968319,-0.002947791013866663,0.7172280550003052,0.011862365528941154,-0.04881764203310013,0.06810571253299713,39.4786947,-0.33461789999999997,4.089000225067139
143.116,-0.013504697941243649,-0.025635654106736183,0.053607288748025894,0.6967989206314087,-0.00454530818387866,-0.0029160466510802507,0.7172461748123169,0.013111294247210026,-0.049502093344926834,0.06852477043867111,39.4786947,-0.33461789999999997,4.087000370025635
143.148,-0.013474290259182453,-0.025090623646974564,0.05480792745947838,0.6967837810516357,-0.004553346429020166,-0.0029163570143282413,0.7172608971595764,0.012768818065524101,-0.04958198219537735,0.06964685022830963,39.4786947,-0.33461789999999997,4.085999965667725
143.18,-0.013502699322998524,-0.024334771558642387,0.05590051785111427,0.6967758536338806,-0.004540465772151947,-0.0029223498422652483,0.717268705368042,0.01329346839338541,-0.04999738931655884,0.06992734968662262,39.4786947,-0.33461789999999997,4.085000038146973
143.22,-0.01349643338471651,-0.023749861866235733,0.057399868965148926,0.6967447996139526,-0.004526909906417131,-0.002946618478745222,0.7172987461090088,0.013558762148022652,-0.04989738389849663,0.07060079276561737,39.4786947,-0.33461789999999997,4.083000183105469
