SimTime,Lat,Lon,Alt,qw,qx,qy,qz,Vx,Vy,Vz
151.8,39.4786411,-0.3463285,50.09,0.7,0.0,-0.0,0.7,-0.0,0.02,-0.04
151.9,39.4786411,-0.3463285,50.09,0.7,0.0,-0.0,0.7,-0.0,0.02,-0.04
152.0,39.4786411,-0.3463285,50.1,0.7,0.0,-0.0,0.7,0.0,0.02,-0.04
152.1,39.4786411,-0.3463285,50.1,0.7,0.0,-0.0,0.7,0.0,0.02,-0.04
152.2,39.4786411,-0.3463285,50.1,0.7,0.0,-0.0,0.7,0.0,0.02,-0.04
152.3,39.4786411,-0.3463285,50.11,0.7,0.0,-0.0,0.7,0.0,0.03,-0.04
152.4,39.4786411,-0.3463285,50.11,0.7,0.0,-0.0,0.7,0.01,0.03,-0.05
152.5,39.4786412,-0.3463285,50.11,0.7,0.0,-0.0,0.7,0.01,0.03,-0.05
152.6,39.4786412,-0.3463285,50.12,0.7,0.0,-0.0,0.7,0.01,0.03,-0.05
152.7,39.4786412,-0.3463284,50.12,0.7,0.0,-0.0,0.7,0.01,0.03,-0.05
152.8,39.4786412,-0.3463284,50.12,0.7,0.0,-0.0,0.7,0.01,0.03,-0.05
152.9,39.4786412,-0.3463284,50.13,0.7,0.0,-0.0,0.7,0.01,0.03,-0.05
153.0,39.4786412,-0.3463284,50.13,0.7,0.0,-0.0,0.7,0.01,0.04,-0.04
153.1,39.4786412,-0.3463284,50.13,0.7,0.0,-0.0,0.7,0.01,0.04,-0.04
153.2,39.4786412,-0.3463284,50.14,0.7,0.0,-0.0,0.7,0.01,0.04,-0.04
153.3,39.4786412,-0.3463284,50.14,0.7,0.0,-0.0,0.7,0.01,0.04,-0.04
153.4,39.4786412,-0.3463284,50.14,0.7,0.0,-0.0,0.7,0.01,0.04,-0.04
153.5,39.4786412,-0.3463284,50.14,0.7,0.0,-0.0,0.7,0.01,0.04,-0.04
153.6,39.4786412,-0.3463284,50.15,0.7,0.0,-0.0,0.7,0.01,0.04,-0.05
153.7,39.4786412,-0.3463284,50.15,0.7,-0.0,-0.0,0.7,0.01,0.03,-0.08
153.8,39.4786412,-0.3463284,50.16,0.7,-0.0,0.0,0.7,0.01,0.02,-0.12
153.9,39.4786412,-0.3463285,50.17,0.7,-0.0,0.0,0.7,0.01,-0.01,-0.15
154.0,39.4786412,-0.3463285,50.19,0.7,-0.0,0.0,0.7,-0.01,-0.08,-0.2
154.1,39.4786412,-0.3463287,50.21,0.7,-0.0,0.0,0.7,-0.04,-0.15,-0.26
154.2,39.4786411,-0.3463289,50.23,0.7,-0.0,0.0,0.7,-0.08,-0.2,-0.35
154.3,39.4786411,-0.3463292,50.27,0.7,0.0,0.0,0.7,-0.1,-0.23,-0.44
154.4,39.478640999999996,-0.34632949999999996,50.31,0.7,0.0,-0.0,0.7,-0.1,-0.23,-0.54
154.5,39.478640899999995,-0.34632979999999997,50.37,0.7,0.0,-0.0,0.7,-0.1,-0.21,-0.61
154.6,39.4786408,-0.34632999999999997,50.42,0.7,0.0,-0.0,0.7,-0.1,-0.2,-0.65
154.7,39.4786407,-0.3463302,50.49,0.7,0.0,-0.0,0.7,-0.09,-0.18,-0.68
154.8,39.4786407,-0.3463304,50.55,0.7,0.0,-0.0,0.7,-0.08,-0.15,-0.71
154.9,39.4786406,-0.3463307,50.62,0.7,0.0,-0.0,0.7,-0.08,-0.13,-0.75
155.0,39.4786405,-0.346331,50.69,0.7,0.0,-0.0,0.7,-0.07,-0.1,-0.78
155.1,39.478640399999996,-0.3463311,50.77,0.7,0.0,-0.0,0.7,-0.06,-0.08,-0.82
155.2,39.478640299999995,-0.3463313,50.84,0.7,0.0,-0.0,0.7,-0.04,-0.04,-0.85
155.3,39.478640299999995,-0.34633149999999996,50.93,0.7,0.0,-0.0,0.7,-0.03,-0.02,-0.88
155.4,39.4786402,-0.34633159999999996,51.01,0.7,0.0,-0.0,0.7,-0.02,0.01,-0.92
155.5,39.4786402,-0.34633159999999996,51.1,0.7,0.0,-0.0,0.7,-0.01,0.03,-0.94
155.6,39.4786401,-0.34633159999999996,51.19,0.7,0.0,-0.0,0.7,0.0,0.06,-0.97
