SimTime,Lat,Lon,Alt,qw,qx,qy,qz,Vx,Vy,Vz
135.064,39.4786411,-0.3463288,50.151,0.6919614,0.0016715,-0.0057926,0.7219094,-0.011,-0.037,-0.014
135.096,39.4786411,-0.3463288,50.151,0.6919441,0.0016671,-0.0058266,0.7219257,-0.01,-0.037,-0.014
135.128,39.4786411,-0.3463288,50.151,0.6919478,0.0016713,-0.005846,0.7219219,-0.009,-0.037,-0.014
135.16,39.4786411,-0.3463288,50.15,0.6919505,0.0016852,-0.0058453,0.7219194,-0.009,-0.037,-0.015
135.192,39.4786411,-0.3463288,50.15,0.6919496,0.0016767,-0.005847,0.7219202,-0.009,-0.037,-0.014
135.224,39.4786411,-0.3463288,50.151,0.6919342,0.0016498,-0.0058702,0.7219349,-0.008,-0.037,-0.014
135.264,39.4786411,-0.3463288,50.151,0.6919225,0.0016486,-0.0058886,0.7219459,-0.008,-0.038,-0.014
135.296,39.4786411,-0.3463288,50.151,0.6919069,0.0016482,-0.0058886,0.7219609,-0.008,-0.038,-0.014
135.328,39.4786411,-0.3463288,50.151,0.691892,0.0016134,-0.0058856,0.7219753,-0.008,-0.039,-0.015
135.36,39.4786411,-0.3463289,50.152,0.6918827,0.0016133,-0.0058952,0.7219841,-0.007,-0.039,-0.015
135.392,39.4786411,-0.3463288,50.152,0.691873,0.0016156,-0.0058827,0.7219935,-0.008,-0.039,-0.014
135.424,39.4786411,-0.3463288,50.152,0.6918525,0.0016233,-0.0058888,0.7220131,-0.008,-0.038,-0.014
135.464,39.4786411,-0.3463288,50.152,0.6918438,0.0016365,-0.0059058,0.7220213,-0.008,-0.038,-0.014
135.496,39.4786411,-0.3463288,50.152,0.6918257,0.0016453,-0.0059218,0.7220384,-0.008,-0.037,-0.014
135.528,39.4786411,-0.3463288,50.152,0.69181,0.0016523,-0.0059055,0.7220536,-0.008,-0.037,-0.014
135.56,39.4786411,-0.3463288,50.152,0.6918038,0.0016565,-0.0058966,0.7220595,-0.008,-0.037,-0.014
135.592,39.4786411,-0.3463288,50.153,0.6918046,0.0016644,-0.0059108,0.7220587,-0.008,-0.037,-0.014
135.624,39.4786411,-0.3463288,50.153,0.6918113,0.0016521,-0.0059081,0.7220523,-0.008,-0.037,-0.014
135.664,39.4786411,-0.3463288,50.153,0.6918172,0.0016463,-0.0059001,0.7220467,-0.008,-0.037,-0.014
135.696,39.4786411,-0.3463288,50.154,0.6918069,0.0016623,-0.0059057,0.7220565,-0.008,-0.037,-0.014
135.728,39.4786411,-0.3463288,50.154,0.6918101,0.0016519,-0.0059276,0.7220533,-0.009,-0.037,-0.014
135.76,39.4786411,-0.3463289,50.155,0.6918002,0.0016393,-0.0059165,0.7220629,-0.009,-0.037,-0.015
135.792,39.4786411,-0.3463288,50.155,0.6917993,0.001653,-0.0059416,0.7220635,-0.009,-0.036,-0.014
135.824,39.4786411,-0.3463288,50.154,0.691787,0.0016491,-0.0059635,0.7220752,-0.009,-0.036,-0.014
135.864,39.4786411,-0.3463288,50.153,0.6917905,0.0016514,-0.0059741,0.7220717,-0.009,-0.035,-0.014
135.896,39.4786411,-0.3463288,50.153,0.6917616,0.0016719,-0.0059951,0.7220992,-0.009,-0.034,-0.014
135.928,39.4786411,-0.3463288,50.153,0.6917464,0.0017022,-0.0060348,0.7221134,-0.009,-0.033,-0.014
135.96,39.4786411,-0.3463288,50.153,0.6917357,0.0016807,-0.0060467,0.7221234,-0.009,-0.033,-0.013
135.992,39.4786411,-0.3463288,50.153,0.6917098,0.0016729,-0.0060385,0.7221485,-0.011,-0.032,-0.013
136.024,39.4786411,-0.3463288,50.153,0.6917033,0.0016653,-0.0060486,0.7221547,-0.011,-0.031,-0.013
136.064,39.4786411,-0.3463288,50.153,0.6917018,0.0016526,-0.0060367,0.7221561,-0.012,-0.031,-0.013
136.096,39.4786411,-0.3463288,50.153,0.6916983,0.0016535,-0.0060058,0.7221597,-0.011,-0.031,-0.013
136.128,39.4786411,-0.3463288,50.153,0.6916995,0.0016621,-0.0060242,0.7221585,-0.012,-0.031,-0.013
136.16,39.4786411,-0.3463288,50.153,0.6917314,0.00165,-0.0060254,0.7221279,-0.011,-0.032,-0.013
136.192,39.4786411,-0.3463288,50.153,0.6917366,0.0016314,-0.0060191,0.722123,-0.011,-0.032,-0.013
136.224,39.4786411,-0.3463288,50.152,0.6917355,0.0015858,-0.0060032,0.7221243,-0.011,-0.032,-0.012
136.264,39.4786411,-0.3463287,50.151,0.691728,0.0016087,-0.0060419,0.7221311,-0.011,-0.032,-0.012
136.296,39.4786411,-0.3463287,50.151,0.6917256,0.0015992,-0.00605,0.7221333,-0.011,-0.032,-0.012
136.328,39.4786411,-0.3463287,50.15,0.6917054,0.0016113,-0.0060478,0.7221527,-0.01,-0.032,-0.012
136.36,39.4786411,-0.3463287,50.15,0.6917001,0.0016182,-0.0060525,0.7221577,-0.01,-0.033,-0.012
136.392,39.4786411,-0.3463287,50.15,0.6917027,0.001623,-0.0060742,0.7221551,-0.01,-0.033,-0.012
136.424,39.4786411,-0.3463287,50.15,0.6917182,0.0016231,-0.0060889,0.7221401,-0.01,-0.033,-0.011
136.464,39.4786411,-0.3463287,50.15,0.6917135,0.0016141,-0.0060749,0.7221447,-0.01,-0.034,-0.011
136.496,39.4786411,-0.3463287,50.15,0.6917002,0.0016179,-0.0060674,0.7221576,-0.01,-0.034,-0.011
136.528,39.4786411,-0.3463288,50.15,0.6917115,0.0016314,-0.0060675,0.7221467,-0.01,-0.035,-0.01
136.56,39.4786411,-0.3463288,50.15,0.6917181,0.0016195,-0.0060656,0.7221403,-0.01,-0.036,-0.011
136.592,39.4786411,-0.3463288,50.15,0.6917076,0.0016029,-0.006073,0.7221504,-0.009,-0.035,-0.01
136.624,39.4786411,-0.3463288,50.149,0.6916716,0.0016002,-0.0061107,0.7221845,-0.008,-0.035,-0.009
136.664,39.4786411,-0.3463287,50.148,0.6916341,0.0015854,-0.0061174,0.7222205,-0.007,-0.035,-0.009
136.696,39.4786411,-0.3463287,50.148,0.6916083,0.0015728,-0.006116,0.7222453,-0.006,-0.035,-0.009
136.728,39.4786411,-0.3463287,50.147,0.6915982,0.0015603,-0.0061189,0.7222549,-0.006,-0.034,-0.008
136.76,39.4786411,-0.3463287,50.146,0.691577,0.0015366,-0.0061268,0.7222751,-0.005,-0.034,-0.009
136.792,39.4786411,-0.3463287,50.146,0.6915669,0.0015478,-0.0061148,0.722285,-0.005,-0.034,-0.009
136.824,39.4786411,-0.3463287,50.146,0.6915392,0.0015329,-0.0061273,0.7223113,-0.005,-0.034,-0.009
136.864,39.4786411,-0.3463288,50.146,0.6915072,0.0015002,-0.0061096,0.7223421,-0.004,-0.034,-0.009
136.896,39.4786411,-0.3463288,50.146,0.6915059,0.001514,-0.0061159,0.7223433,-0.004,-0.035,-0.01
136.928,39.4786411,-0.3463288,50.146,0.6914954,0.0015093,-0.0061343,0.7223533,-0.005,-0.035,-0.01
136.96,39.4786411,-0.3463288,50.146,0.6915021,0.0015229,-0.0061319,0.7223468,-0.005,-0.035,-0.01
136.992,39.4786411,-0.3463288,50.146,0.6915002,0.0015134,-0.0061274,0.7223487,-0.005,-0.035,-0.009
137.024,39.4786411,-0.3463288,50.145,0.6915011,0.0014857,-0.0061127,0.722348,-0.005,-0.035,-0.009
137.064,39.4786411,-0.3463288,50.145,0.6914927,0.0014767,-0.0061223,0.722356,-0.005,-0.036,-0.009
137.096,39.4786411,-0.3463288,50.144,0.6914861,0.0014731,-0.0061028,0.7223625,-0.006,-0.035,-0.008
137.128,39.4786411,-0.3463288,50.144,0.6914838,0.0014629,-0.0061008,0.7223648,-0.006,-0.035,-0.008
137.16,39.4786411,-0.3463288,50.144,0.6914757,0.0014511,-0.0061222,0.7223723,-0.005,-0.036,-0.008
137.192,39.4786411,-0.3463288,50.144,0.691471,0.0014432,-0.0061265,0.7223768,-0.005,-0.036,-0.007
137.224,39.4786411,-0.3463288,50.144,0.6914784,0.0014462,-0.0061087,0.72237,-0.005,-0.037,-0.007
137.264,39.4786411,-0.3463288,50.144,0.6914777,0.0014607,-0.0060917,0.7223706,-0.006,-0.037,-0.007
